nama,id,kode,tingkat
Bengkulu Selatan,191235,1701,2
Bengkulu Tengah,191243,1709,2
Bengkulu Utara,191237,1703,2
Kaur,191238,1704,2
Kepahiang,191242,1708,2
Kota Bengkulu,191244,1771,2
Lebong,191241,1707,2
Muko Muko,191240,1706,2
Rejang Lebong,191236,1702,2
Seluma,191239,1705,2
Bantul,191327,3402,2
Gunungkidul,191328,3403,2
Kota Yogyakarta,191330,3471,2
Kulon Progo,143631,3401,2
Sleman,191329,3404,2
Aceh Barat,191126,1105,2
Aceh Barat Daya,191133,1112,2
Aceh Besar,191127,1106,2
Aceh Jaya,191135,1114,2
Aceh Selatan,100055,1101,2
Aceh Singkil,191131,1110,2
Aceh Tamiang,191137,1116,2
Aceh Tengah,191125,1104,2
Aceh Tenggara,191123,1102,2
Aceh Timur,191124,1103,2
Aceh Utara,191129,1108,2
Bener Meriah,191138,1117,2
Bireuen,191132,1111,2
Gayo Lues,191134,1113,2
Kota Banda Aceh,191140,1171,2
Kota Langsa,191143,1174,2
Kota Lhokseumawe,191142,1173,2
Kota Sabang,191141,1172,2
Kota Subulussalam,191144,1175,2
Nagan Raya,191136,1115,2
Pidie,191128,1107,2
Pidie Jaya,191139,1118,2
Simeulue,191130,1109,2
Kota Cilegon,191373,3672,2
Kota Serang,191374,3673,2
Kota Tangerang,191368,3671,2
Kota Tangerang Selatan,191375,3674,2
Lebak,191370,3602,2
Pandeglang,191369,3601,2
Serang,191372,3604,2
Tangerang,191371,3603,2
Badung,191402,5103,2
Bangli,191405,5106,2
Buleleng,191407,5108,2
Gianyar,191403,5104,2
Jembrana,155006,5101,2
Karangasem,191406,5107,2
Klungkung,191404,5105,2
Kota Denpasar,191408,5171,2
Tabanan,191401,5102,2
Boalemo,191145,7502,2
Bone Bolango,191146,7503,2
Gorontalo,178815,7501,2
Gorontalo Utara,191148,7505,2
Kota Gorontalo,191149,7571,2
Pohuwato,191147,7504,2
Kerinci,191593,1501,2
Merangin,191594,1502,2
Muaro Jambi,191595,1505,2
Batanghari,191208,1504,2
Bungo,191211,1508,2
Kota Jambi,191213,1571,2
Kota Sungai Penuh,191214,1572,2
Sarolangun,191207,1503,2
Tanjung Jabung Barat,191209,1506,2
Tanjung Jabung Timur,191210,1507,2
Tebo,191212,1509,2
Adm. Kep. Seribu,127558,3101,2
Kota Adm. Jakarta Barat,191267,3173,2
Kota Adm. Jakarta Pusat,191265,3171,2
Kota Adm. Jakarta Selatan,191268,3174,2
Kota Adm. Jakarta Timur,191269,3175,2
Kota Adm. Jakarta Utara,191266,3172,2
Bandung,191272,3204,2
Bandung Barat,191285,3217,2
Bekasi,191284,3216,2
Bogor,127885,3201,2
Ciamis,191275,3207,2
Cianjur,191271,3203,2
Cirebon,191277,3209,2
Garut,191273,3205,2
Indramayu,191281,3212,2
Karawang,191283,3215,2
Kota Bandung,191289,3273,2
Kota Banjar,134462,3279,2
Kota Bekasi,191291,3275,2
Kota Bogor,191287,3271,2
Kota Cimahi,191292,3277,2
Kota Cirebon,191290,3274,2
Kota Depok,191279,3276,2
Kota Sukabumi,191288,3272,2
Kota Tasikmalaya,191293,3278,2
Kuningan,191276,3208,2
Majalengka,191278,3210,2
Pangandaran,191286,3218,2
Purwakarta,191282,3214,2
Subang,132551,3213,2
Sukabumi,191270,3202,2
Sumedang,191280,3211,2
Tasikmalaya,191274,3206,2
Banjarnegara,191296,3304,2
Banyumas,191294,3302,2
Batang,191316,3325,2
Blora,191308,3316,2
Boyolali,191301,3309,2
Brebes,191320,3329,2
Cilacap,134463,3301,2
Demak,191312,3321,2
Grobogan,191307,3315,2
Jepara,191311,3320,2
Karanganyar,191305,3313,2
Kebumen,191297,3305,2
Kendal,191315,3324,2
Klaten,191302,3310,2
Kota Magelang,191321,3371,2
Kota Pekalongan,191325,3375,2
Kota Salatiga,191323,3373,2
Kota Semarang,191324,3374,2
Kota Surakarta,191322,3372,2
Kota Tegal,191326,3376,2
Kudus,191310,3319,2
Magelang,191300,3308,2
Pati,139944,3318,2
Pekalongan,191317,3326,2
Pemalang,191318,3327,2
Purbalingga,191295,3303,2
Purworejo,191298,3306,2
Rembang,191309,3317,2
Semarang,191313,3322,2
Sragen,191306,3314,2
Sukoharjo,191303,3311,2
Tegal,191319,3328,2
Temanggung,191314,3323,2
Wonogiri,191304,3312,2
Wonosobo,191299,3307,2
Bangkalan,191355,3526,2
Banyuwangi,191339,3510,2
