nama,id,kode,tingkat
Air Besi,122587,170315,3
Air Napal,122603,170316,3
Air Padang,122632,170320,3
Arma Jaya,122643,170321,3
Batik Nau,122538,170311,3
Enggano,122461,170301,3
Giri Mulya,122504,170308,3
Hulu Palik,122616,170319,3
Kerkap,122468,170306,3
Ketahun,122554,170312,3
Kota Arga Makmur,122487,170307,3
Lais,122524,170310,3
Marga Sakti Sebelat,122689,170325,3
Napal Putih,122566,170313,3
Padang Jaya,122511,170309,3
Pinang Raya,122678,170324,3
Putri Hijau,122577,170314,3
Tanjung Agung Palik,122656,170322,3
Ulok Kupai,122667,170323,3
Bang Haji,123663,170910,3
Karang Tinggi,123534,170901,3
Merigi Kelindang,123620,170907,3
Merigi Sakti,123634,170908,3
Pagar Jati,123591,170905,3
Pematang Tiga,123577,170904,3
Pondok Kelapa,123559,170903,3
Pondok Kubang,123650,170909,3
Semidang Lagan,123676,170911,3
Taba Penanjung,123606,170906,3
Talang Empat,123548,170902,3
Air Nipis,122247,170108,3
Bunga Mas,122269,170110,3
Kedurang,122121,170101,3
Kedurang Ilir,122234,170107,3
Kota Manna,122200,170105,3
Manna,122181,170104,3
Pasar Manna,122280,170111,3
Pino,122164,170103,3
Pino Raya,122212,170106,3
Seginim,122141,170102,3
Ulu Manna,122258,170109,3
Kaur Selatan,122758,170405,3
Kaur Tengah,122748,170404,3
Kaur Utara,122736,170403,3
Kelam Tengah,122830,170409,3
Kinal,122700,170401,3
Luas,122844,170410,3
Lungkang Kule,111131,170413,3
Maje,122778,170406,3
Muara Sahung,122857,170411,3
Nasal,122798,170407,3
Padang Guci Hilir,122887,170414,3
Padang Guci Hulu,122897,170415,3
Semidang Gumay,122816,170408,3
Tanjung Kemuning,122715,170402,3
Tetap,122865,170412,3
Bermani Ilir,123408,170801,3
Kebawetan,123495,170806,3
Kepahiang,123461,170804,3
Merigi,123485,170805,3
Muara Kemumu,123525,170808,3
Seberang Musi,123511,170807,3
Tebat Karai,123446,170803,3
Ujan Mas,123428,170802,3
Gading Cempaka,123695,177102,3
Kampung Melayu,123723,177105,3
Muara Bangka Hulu,123715,177104,3
Ratu Agung,123730,177106,3
Ratu Samban,123739,177107,3
Selebar,123688,177101,3
Singaran Pati,123757,177109,3
Sungai Serut,123749,177108,3
Teluk Segara,123701,177103,3
Bermani Ulu,122338,170210,3
Bermani Ulu Raya,122450,170224,3
Binduriang,122417,170220,3
Curup,122328,170209,3
Curup Selatan,122394,170218,3
Curup Tengah,122406,170219,3
Curup Timur,122384,170217,3
Curup Utara,122368,170216,3
Kota Padang,122290,170206,3
Padang Ulak Tanding,122301,170207,3
