nama,id,kode,tingkat
Datar Macang,122590,1703152005,4
Dusun Curup,122601,1703152016,4
Genting Perangkap,122588,1703152003,4
Kertapati,122595,1703152010,4
Kota Agung,122593,1703152008,4
Lubuk Balam,122589,1703152004,4
Penyangkak,122602,1703152017,4
Sungai Pura,122600,1703152015,4
Talang Baru Ginting,122597,1703152012,4
Talang Ginting,122599,1703152014,4
Talang Lembak,122594,1703152009,4
Talang Pungguk,122596,1703152011,4
Talang Renah,122592,1703152007,4
Tanjung Genting,122591,1703152006,4
Tanjung Karet,122598,1703152013,4
Balam,122636,1703202004,4
Kembang Manis,122634,1703202002,4
Lubuk Mumpo,122640,1703202008,4
Mesigit,122638,1703202006,4
Padang Kala,122633,1703202001,4
Retes,122639,1703202007,4
Suka Rami,122637,1703202005,4
Talang Ulu,122641,1703202009,4
Tanjung Aur,122642,1703202010,4
Teluk Ajang,122635,1703202003,4
Air Napal,122607,1703162005,4
Lubuk Tanjung,122611,1703162009,4
Pasar Bembah,122604,1703162001,4
Pasar Kerkap,122606,1703162003,4
Pasar Palik,122613,1703162014,4
Pasar Tebat,122610,1703162008,4
Pukur,122612,1703162011,4
Selubuk,122609,1703162007,4
Talang Jarang,122615,1703162016,4
Talang Kering,122608,1703162006,4
Tebing Kandang,122614,1703162015,4
Tepi Laut,122605,1703162002,4
Air Merah,122654,1703212011,4
Gardu,122650,1703212007,4
Gunung Besar,122655,1703212012,4
Kalai Duai,122652,1703212009,4
Kali,122651,1703212008,4
Kemumu,122644,1703211001,4
Pagar Banyu,122649,1703212006,4
Pagar Ruyung,122653,1703212010,4
Pematang Sapang,122648,1703212005,4
Sidodadi,122646,1703212003,4
Sumber Agung,122647,1703212004,4
Tebing Kaning,122645,1703212002,4
Air Lakok,122541,1703112003,4
Air Manganyau,122553,1703112015,4
Batik Nau,122544,1703112006,4
Bintunan,122542,1703112004,4
Durian Amparan,122546,1703112008,4
Pagar Ruyung,122545,1703112007,4
Peninjau,122552,1703112014,4
Samban Jaya,122551,1703112013,4
Seberang Tunggal,122549,1703112011,4
Sekiau,122550,1703112012,4
Selolong,122540,1703112002,4
Serangai,122539,1703112001,4
Suka Marga,122543,1703112005,4
Taba Kulintang,122547,1703112009,4
Ulak Tanding,122548,1703112010,4
Apoho,122467,1703012006,4
Banjar Sari,122462,1703012001,4
Kaana,122465,1703012004,4
Kahyapu,122466,1703012005,4
Malakoni,122464,1703012003,4
Meok,122463,1703012002,4
Giri Mulya,122508,1703082004,4
Rena Jaya,122509,1703082005,4
Suka Makmur,122506,1703082002,4
Suka Mulya,122510,1703082006,4
Tanjung Anom,122505,1703082001,4
Wono Harjo,122507,1703082003,4
Air Ba'us I,122626,1703192010,4
Air Ba'us II,122627,1703192011,4
Air Banai,122621,1703192005,4
Batu Layang,122624,1703192008,4
Batu Raja Kol,122623,1703192007,4
Batu Raja R,122622,1703192006,4
Batu Roto,122625,1703192009,4
Kota Lekat,122617,1703192001,4
Kota Lekat Mudik,122631,1703192015,4
Padang Bendar,122618,1703192002,4
Pematang Balam,122628,1703192012,4
Sumber Rejo,122630,1703192014,4
Taba Padang Kol,122620,1703192004,4
Taba Padang R,122619,1703192003,4
Talang Rendah,122629,1703192013,4
Aur Gading,122480,1703062012,4
Banyu Mas Baru,122486,1703062031,4
Banyu Mas Lama,122473,1703062004,4
Jogja Baru,122475,1703062006,4
Kedu Baru,122481,1703062024,4
Lubuk Durian,122469,1703061009,4
Lubuk Jale,122478,1703062010,4
Magelang,122483,1703062027,4
Penyangkak,122485,1703062029,4
